Store,Handbag Type,Color,Material,Size,Manufacturing City,Lead Time (Days),Shipping Time (Days),Total Lead Time (Days),Season,Base Demand,Adjusted Demand,Stock Level,Overfill/Underfill
Soho,Perry Tote,Pink,Pebbled Leather,Large,Da Nang,46,16,62,Spring,213,255,100,-155
Rodeo Drive,Ella Tote,Multi,Canvas,Small,Hanoi,37,15,52,Spring,56,67,16,-51
El Palacio de Hierro (Polanco),Kira Chevron Tote,Gray,Pebbled Leather,Mini,Da Nang,42,15,57,Summer,117,117,117,0
Bal Harbour Shops,T Monogram Tote,Blue,Canvas,Small,Shenzhen,30,18,48,Fall,111,122,87,-35
El Palacio de Hierro (Santa Fe),Britten Tote,Beige,Pebbled Leather,Small,Da Nang,39,18,57,Summer,137,137,80,-57
Pacific Centre,Robinson Tote,Black,Pebbled Leather,Medium,Shenzhen,37,18,55,Fall,290,319,33,-286
Westfield World Trade Center,Ella Tote,White,Coated Canvas,Mini,Shenzhen,45,17,62,Fall,132,145,1,-144
Pacific Centre,Gemini Link Tote,Green,Coated Canvas,Large,Shenzhen,30,16,46,Winter,68,54,52,-2
Bal Harbour Shops,T Monogram Tote,Red,Jacquard,Large,Ho Chi Minh City,46,17,63,Spring,213,255,121,-134
Rodeo Drive,McGraw Tote,Beige,Leather,Small,Hanoi,46,16,62,Fall,202,222,67,-155
Rodeo Drive,Kira Chevron Tote,Beige,Pebbled Leather,Large,Ho Chi Minh City,40,15,55,Spring,189,226,35,-191
El Palacio de Hierro (Santa Fe),Perry Tote,Brown,Leather,Small,Shenzhen,47,18,65,Summer,118,118,91,-27
Aventura Mall,Britten Tote,Black,Coated Canvas,Mini,Da Nang,39,14,53,Summer,84,84,33,-51
Aventura Mall,Ella Tote,Blue,Jacquard,Large,Da Nang,44,14,58,Winter,92,73,76,3
Madison Avenue,T Monogram Tote,Green,Jacquard,Medium,Shenzhen,33,14,47,Fall,213,234,67,-167
El Palacio de Hierro (Polanco),McGraw Tote,Black,Canvas,Medium,Shenzhen,44,18,62,Winter,270,216,95,-121
Madison Avenue,Robinson Tote,Green,Jacquard,Small,Shenzhen,38,17,55,Fall,121,133,88,-45
Westfield World Trade Center,Britten Tote,Metallic,Leather,Large,Guangzhou,32,17,49,Winter,160,128,42,-86
The Galleria,Perry Tote,Yellow,Jacquard,Mini,Guangzhou,37,17,54,Winter,115,92,21,-71
The Galleria,Britten Tote,Blue,Jacquard,Medium,Da Nang,37,17,54,Winter,159,127,150,23
Bal Harbour Shops,Kira Chevron Tote,White,Coated Canvas,Medium,Shenzhen,48,14,62,Spring,234,280,2,-278
Yorkdale Shopping Centre,Britten Tote,Beige,Leather,Mini,Shenzhen,34,17,51,Summer,277,277,278,1
South Coast Plaza,Ella Tote,Multi,Leather,Medium,Ho Chi Minh City,46,17,63,Fall,247,271,76,-195
NorthPark Center,T Monogram Tote,Multi,Leather,Large,Ho Chi Minh City,41,17,58,Fall,196,215,180,-35
Aventura Mall,McGraw Tote,Pink,Canvas,Mini,Guangzhou,44,15,59,Spring,244,292,324,32
Yorkdale Shopping Centre,Britten Tote,Gray,Coated Canvas,Medium,Shenzhen,41,17,58,Spring,277,332,237,-95
San Francisco Centre,Kira Chevron Tote,Green,Canvas,Medium,Shenzhen,48,15,63,Winter,71,56,87,31
Bal Harbour Shops,T Monogram Tote,Black,Coated Canvas,Small,Guangzhou,44,16,60,Fall,293,322,267,-55
Aventura Mall,Ella Tote,Gray,Coated Canvas,Large,Guangzhou,46,15,61,Summer,83,83,76,-7
Yorkdale Shopping Centre,Britten Tote,Gray,Coated Canvas,Mini,Shenzhen,47,14,61,Fall,189,207,178,-29
Aventura Mall,Robinson Tote,Red,Coated Canvas,Large,Ho Chi Minh City,49,16,65,Fall,201,221,229,8
San Francisco Centre,Ella Tote,Yellow,Coated Canvas,Mini,Ho Chi Minh City,37,15,52,Spring,184,220,190,-30
San Francisco Centre,Robinson Tote,Blue,Canvas,Small,Ho Chi Minh City,47,15,62,Summer,236,236,24,-212
Pacific Centre,Britten Tote,Multi,Leather,Small,Guangzhou,31,14,45,Winter,175,140,156,16
Oak Street,T Monogram Tote,Pink,Canvas,Small,Guangzhou,46,17,63,Summer,247,247,81,-166
El Palacio de Hierro (Polanco),Kira Chevron Tote,Brown,Jacquard,Small,Shenzhen,39,15,54,Summer,71,71,110,39
Oak Street,Robinson Tote,Multi,Leather,Mini,Hanoi,49,17,66,Summer,292,292,251,-41
Westfield World Trade Center,Kira Chevron Tote,White,Coated Canvas,Large,Hanoi,42,15,57,Winter,262,209,106,-103
Bal Harbour Shops,Gemini Link Tote,Brown,Jacquard,Medium,Ho Chi Minh City,48,17,65,Spring,103,123,92,-31
Yorkdale Shopping Centre,Robinson Tote,Yellow,Coated Canvas,Mini,Da Nang,39,18,57,Spring,56,67,19,-48
Rodeo Drive,Britten Tote,Yellow,Leather,Medium,Ho Chi Minh City,38,17,55,Fall,156,171,169,-2
Oak Street,Robinson Tote,Brown,Leather,Mini,Da Nang,48,18,66,Summer,295,295,138,-157
El Palacio de Hierro (Polanco),McGraw Tote,Pink,Coated Canvas,Medium,Da Nang,32,18,50,Winter,248,198,25,-173
The Galleria,Kira Chevron Tote,Gray,Pebbled Leather,Small,Hanoi,37,15,52,Fall,201,221,219,-2
Oak Street,Ella Tote,Black,Leather,Large,Hanoi,47,15,62,Fall,164,180,226,46
Pacific Centre,Britten Tote,Beige,Jacquard,Medium,Hanoi,33,18,51,Summer,207,207,161,-46
Oak Street,Gemini Link Tote,Brown,Coated Canvas,Small,Hanoi,45,18,63,Winter,211,168,97,-71
Oak Street,McGraw Tote,Blue,Leather,Large,Da Nang,50,14,64,Spring,295,354,16,-338
San Francisco Centre,Kira Chevron Tote,Green,Jacquard,Mini,Ho Chi Minh City,37,14,51,Spring,210,252,293,41
Oak Street,Perry Tote,White,Leather,Medium,Shenzhen,43,15,58,Fall,131,144,44,-100
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Multi,Canvas,Large,Shenzhen,43,15,58,Summer,162,162,151,-11
NorthPark Center,McGraw Tote,White,Coated Canvas,Mini,Guangzhou,45,18,63,Winter,253,202,217,15
El Palacio de Hierro (Santa Fe),Ella Tote,Brown,Coated Canvas,Large,Shenzhen,47,17,64,Spring,58,69,32,-37
Rodeo Drive,Perry Tote,Purple,Pebbled Leather,Mini,Guangzhou,40,14,54,Spring,198,237,11,-226
Bal Harbour Shops,McGraw Tote,Green,Pebbled Leather,Mini,Hanoi,40,16,56,Summer,271,271,177,-94
The Galleria,Britten Tote,Yellow,Leather,Small,Hanoi,42,16,58,Summer,271,271,166,-105
Yorkdale Shopping Centre,McGraw Tote,Purple,Leather,Large,Shenzhen,50,17,67,Summer,291,291,168,-123
Oak Street,McGraw Tote,Green,Leather,Medium,Guangzhou,45,17,62,Summer,154,154,190,36
NorthPark Center,Kira Chevron Tote,Red,Pebbled Leather,Small,Da Nang,49,18,67,Fall,193,212,159,-53
El Palacio de Hierro (Polanco),Ella Tote,Red,Coated Canvas,Large,Da Nang,48,17,65,Winter,141,112,160,48
San Francisco Centre,Kira Chevron Tote,Pink,Coated Canvas,Medium,Ho Chi Minh City,37,14,51,Summer,188,188,190,2
Rodeo Drive,T Monogram Tote,Pink,Canvas,Medium,Da Nang,32,17,49,Fall,95,104,77,-27
Madison Avenue,McGraw Tote,Green,Pebbled Leather,Mini,Ho Chi Minh City,44,15,59,Fall,179,196,188,-8
El Palacio de Hierro (Polanco),Britten Tote,Metallic,Leather,Large,Shenzhen,32,14,46,Summer,269,269,215,-54
Pacific Centre,Gemini Link Tote,Green,Leather,Small,Guangzhou,35,14,49,Spring,51,61,109,48
San Francisco Centre,T Monogram Tote,Yellow,Coated Canvas,Large,Ho Chi Minh City,37,16,53,Summer,210,210,186,-24
San Francisco Centre,Kira Chevron Tote,Gray,Leather,Small,Ho Chi Minh City,48,16,64,Winter,248,198,173,-25
Aventura Mall,T Monogram Tote,Beige,Jacquard,Large,Guangzhou,36,17,53,Summer,291,291,138,-153
Madison Avenue,Perry Tote,Green,Pebbled Leather,Small,Hanoi,44,15,59,Winter,207,165,211,46
El Palacio de Hierro (Polanco),McGraw Tote,Black,Canvas,Small,Ho Chi Minh City,41,14,55,Summer,257,257,226,-31
El Palacio de Hierro (Polanco),Ella Tote,Black,Pebbled Leather,Large,Hanoi,39,15,54,Winter,149,119,168,49
San Francisco Centre,Britten Tote,Metallic,Canvas,Small,Ho Chi Minh City,39,16,55,Winter,100,80,0,-80
Soho,McGraw Tote,Red,Coated Canvas,Medium,Shenzhen,44,16,60,Winter,232,185,88,-97
Westfield World Trade Center,Perry Tote,Black,Jacquard,Mini,Da Nang,39,15,54,Winter,80,64,16,-48
NorthPark Center,Ella Tote,Green,Pebbled Leather,Small,Hanoi,41,15,56,Spring,214,256,150,-106
South Coast Plaza,T Monogram Tote,Yellow,Canvas,Medium,Hanoi,34,15,49,Fall,93,102,46,-56
Westfield World Trade Center,Ella Tote,Yellow,Canvas,Small,Hanoi,48,17,65,Fall,151,166,131,-35
The Galleria,Ella Tote,Brown,Coated Canvas,Medium,Shenzhen,39,16,55,Winter,148,118,155,37
Bal Harbour Shops,Kira Chevron Tote,Brown,Leather,Small,Shenzhen,37,16,53,Fall,235,258,30,-228
Westfield World Trade Center,Kira Chevron Tote,Purple,Pebbled Leather,Small,Guangzhou,39,17,56,Winter,79,63,6,-57
San Francisco Centre,McGraw Tote,Green,Canvas,Mini,Da Nang,36,14,50,Winter,122,97,67,-30
The Galleria,Robinson Tote,Multi,Leather,Mini,Hanoi,48,14,62,Spring,72,86,27,-59
El Palacio de Hierro (Santa Fe),Perry Tote,Multi,Pebbled Leather,Large,Hanoi,40,15,55,Spring,275,330,334,4
Madison Avenue,Britten Tote,Blue,Leather,Medium,Shenzhen,44,15,59,Winter,177,141,138,-3
Westfield World Trade Center,Robinson Tote,Yellow,Pebbled Leather,Large,Da Nang,40,15,55,Winter,285,228,44,-184
Oak Street,Kira Chevron Tote,Pink,Canvas,Medium,Hanoi,36,14,50,Spring,83,99,116,17
Pacific Centre,Britten Tote,Brown,Canvas,Mini,Ho Chi Minh City,30,14,44,Spring,206,247,3,-244
Yorkdale Shopping Centre,Ella Tote,Black,Leather,Medium,Ho Chi Minh City,35,16,51,Winter,280,224,53,-171
El Palacio de Hierro (Polanco),Kira Chevron Tote,Black,Canvas,Medium,Shenzhen,33,18,51,Summer,247,247,154,-93
South Coast Plaza,Britten Tote,Yellow,Jacquard,Medium,Shenzhen,38,14,52,Winter,159,127,44,-83
San Francisco Centre,Gemini Link Tote,Red,Canvas,Small,Ho Chi Minh City,31,15,46,Summer,155,155,109,-46
San Francisco Centre,Perry Tote,Brown,Pebbled Leather,Mini,Shenzhen,36,14,50,Fall,226,248,274,26
Rodeo Drive,T Monogram Tote,White,Canvas,Small,Hanoi,37,15,52,Spring,77,92,50,-42
San Francisco Centre,Robinson Tote,Black,Jacquard,Small,Hanoi,32,14,46,Fall,158,173,194,21
El Palacio de Hierro (Santa Fe),Perry Tote,Blue,Jacquard,Medium,Da Nang,40,14,54,Fall,179,196,13,-183
The Galleria,Perry Tote,Pink,Leather,Medium,Da Nang,43,17,60,Summer,253,253,29,-224
NorthPark Center,McGraw Tote,Red,Canvas,Large,Ho Chi Minh City,44,15,59,Summer,59,59,93,34
Pacific Centre,Perry Tote,Pink,Jacquard,Mini,Guangzhou,45,18,63,Spring,62,74,63,-11
Pacific Centre,T Monogram Tote,Pink,Jacquard,Mini,Ho Chi Minh City,35,16,51,Spring,153,183,227,44
Aventura Mall,Gemini Link Tote,White,Coated Canvas,Mini,Hanoi,45,17,62,Winter,53,42,20,-22
San Francisco Centre,T Monogram Tote,Metallic,Jacquard,Small,Ho Chi Minh City,30,14,44,Fall,82,90,45,-45
Soho,Britten Tote,Red,Pebbled Leather,Medium,Ho Chi Minh City,35,16,51,Summer,115,115,34,-81
The Galleria,T Monogram Tote,Yellow,Coated Canvas,Mini,Ho Chi Minh City,30,17,47,Fall,134,147,181,34
Pacific Centre,Perry Tote,Metallic,Pebbled Leather,Medium,Da Nang,34,15,49,Spring,137,164,14,-150
Soho,Britten Tote,Brown,Canvas,Small,Ho Chi Minh City,49,18,67,Spring,65,78,81,3
The Galleria,T Monogram Tote,Green,Canvas,Medium,Ho Chi Minh City,32,14,46,Winter,92,73,100,27
Pacific Centre,Gemini Link Tote,Metallic,Pebbled Leather,Medium,Shenzhen,30,16,46,Winter,116,92,23,-69
El Palacio de Hierro (Santa Fe),Robinson Tote,Green,Canvas,Medium,Ho Chi Minh City,48,15,63,Fall,137,150,6,-144
NorthPark Center,Robinson Tote,Purple,Leather,Mini,Da Nang,33,15,48,Summer,200,200,65,-135
El Palacio de Hierro (Polanco),Robinson Tote,White,Canvas,Large,Ho Chi Minh City,50,14,64,Winter,97,77,88,11
Yorkdale Shopping Centre,Perry Tote,Red,Jacquard,Large,Shenzhen,39,14,53,Summer,61,61,51,-10
Oak Street,Gemini Link Tote,Brown,Leather,Medium,Da Nang,44,17,61,Summer,291,291,20,-271
Oak Street,Gemini Link Tote,Multi,Jacquard,Medium,Shenzhen,49,17,66,Summer,141,141,66,-75
Rodeo Drive,T Monogram Tote,Yellow,Coated Canvas,Large,Da Nang,30,16,46,Summer,196,196,137,-59
Westfield World Trade Center,McGraw Tote,Black,Coated Canvas,Large,Guangzhou,33,18,51,Winter,273,218,26,-192
Madison Avenue,T Monogram Tote,Brown,Coated Canvas,Medium,Ho Chi Minh City,39,18,57,Spring,124,148,73,-75
Westfield World Trade Center,Robinson Tote,Pink,Pebbled Leather,Small,Da Nang,49,18,67,Fall,185,203,115,-88
South Coast Plaza,Robinson Tote,Red,Pebbled Leather,Medium,Da Nang,40,16,56,Winter,253,202,96,-106
Oak Street,Perry Tote,Red,Coated Canvas,Mini,Ho Chi Minh City,43,18,61,Spring,143,171,179,8
Aventura Mall,Perry Tote,Black,Jacquard,Medium,Shenzhen,44,16,60,Fall,112,123,40,-83
Rodeo Drive,Britten Tote,Gray,Coated Canvas,Medium,Shenzhen,50,14,64,Winter,61,48,57,9
El Palacio de Hierro (Santa Fe),Britten Tote,Brown,Leather,Medium,Guangzhou,40,18,58,Fall,232,255,149,-106
Pacific Centre,McGraw Tote,Pink,Jacquard,Large,Hanoi,33,14,47,Spring,132,158,61,-97
Yorkdale Shopping Centre,Britten Tote,Metallic,Leather,Small,Shenzhen,39,15,54,Fall,223,245,90,-155
South Coast Plaza,Ella Tote,Blue,Leather,Mini,Shenzhen,40,18,58,Winter,227,181,192,11
El Palacio de Hierro (Polanco),Kira Chevron Tote,Brown,Pebbled Leather,Medium,Hanoi,42,15,57,Summer,165,165,189,24
The Galleria,Perry Tote,Brown,Coated Canvas,Large,Shenzhen,37,18,55,Fall,109,119,4,-115
El Palacio de Hierro (Polanco),Robinson Tote,Pink,Coated Canvas,Large,Shenzhen,43,18,61,Summer,226,226,74,-152
El Palacio de Hierro (Polanco),Britten Tote,Yellow,Pebbled Leather,Medium,Guangzhou,44,14,58,Spring,100,120,5,-115
NorthPark Center,Robinson Tote,Black,Pebbled Leather,Small,Shenzhen,49,18,67,Spring,242,290,272,-18
El Palacio de Hierro (Santa Fe),T Monogram Tote,Multi,Leather,Mini,Da Nang,35,17,52,Winter,167,133,143,10
San Francisco Centre,McGraw Tote,Purple,Jacquard,Medium,Hanoi,45,14,59,Summer,59,59,31,-28
El Palacio de Hierro (Santa Fe),Gemini Link Tote,White,Coated Canvas,Medium,Guangzhou,43,18,61,Summer,299,299,343,44
Madison Avenue,Robinson Tote,Black,Jacquard,Large,Da Nang,40,16,56,Fall,256,281,116,-165
Westfield World Trade Center,Perry Tote,Red,Coated Canvas,Large,Da Nang,42,17,59,Fall,190,209,69,-140
San Francisco Centre,McGraw Tote,Red,Canvas,Mini,Hanoi,34,18,52,Spring,89,106,99,-7
Soho,Perry Tote,Metallic,Canvas,Large,Shenzhen,38,17,55,Winter,209,167,182,15
Soho,Kira Chevron Tote,Blue,Pebbled Leather,Medium,Hanoi,36,18,54,Fall,261,287,174,-113
Pacific Centre,Perry Tote,Beige,Coated Canvas,Small,Ho Chi Minh City,38,18,56,Winter,56,44,8,-36
Madison Avenue,McGraw Tote,Gray,Leather,Small,Shenzhen,38,14,52,Spring,120,144,74,-70
Rodeo Drive,Britten Tote,Purple,Pebbled Leather,Mini,Shenzhen,46,18,64,Winter,149,119,140,21
Soho,Perry Tote,Metallic,Jacquard,Small,Ho Chi Minh City,45,15,60,Spring,242,290,191,-99
South Coast Plaza,Perry Tote,Pink,Leather,Small,Ho Chi Minh City,45,16,61,Summer,92,92,119,27
Rodeo Drive,Ella Tote,Black,Jacquard,Medium,Da Nang,46,15,61,Summer,75,75,116,41
Yorkdale Shopping Centre,McGraw Tote,Black,Pebbled Leather,Medium,Guangzhou,38,18,56,Fall,105,115,131,16
Bal Harbour Shops,McGraw Tote,Yellow,Leather,Medium,Shenzhen,45,16,61,Summer,62,62,104,42
The Galleria,Robinson Tote,Black,Leather,Mini,Guangzhou,48,15,63,Spring,61,73,27,-46
Madison Avenue,McGraw Tote,Green,Leather,Mini,Da Nang,42,18,60,Winter,201,160,27,-133
Madison Avenue,Ella Tote,Black,Coated Canvas,Medium,Ho Chi Minh City,49,17,66,Winter,168,134,136,2
El Palacio de Hierro (Polanco),Britten Tote,Brown,Canvas,Large,Hanoi,34,16,50,Fall,217,238,175,-63
Westfield World Trade Center,Robinson Tote,Red,Leather,Medium,Ho Chi Minh City,46,15,61,Fall,231,254,14,-240
Westfield World Trade Center,Gemini Link Tote,Beige,Canvas,Medium,Shenzhen,32,16,48,Summer,153,153,18,-135
Bal Harbour Shops,Robinson Tote,Black,Pebbled Leather,Mini,Shenzhen,39,18,57,Winter,118,94,65,-29
Westfield World Trade Center,Britten Tote,Brown,Leather,Small,Hanoi,30,16,46,Winter,289,231,209,-22
Pacific Centre,Kira Chevron Tote,Pink,Jacquard,Mini,Shenzhen,45,14,59,Summer,100,100,131,31
El Palacio de Hierro (Polanco),Perry Tote,Metallic,Jacquard,Large,Hanoi,39,14,53,Winter,119,95,81,-14
South Coast Plaza,Perry Tote,Purple,Coated Canvas,Small,Hanoi,38,16,54,Summer,84,84,85,1
Bal Harbour Shops,Perry Tote,Metallic,Coated Canvas,Large,Ho Chi Minh City,48,17,65,Fall,160,176,188,12
Yorkdale Shopping Centre,T Monogram Tote,Blue,Coated Canvas,Medium,Shenzhen,36,18,54,Fall,218,239,201,-38
Rodeo Drive,McGraw Tote,Multi,Coated Canvas,Medium,Da Nang,34,16,50,Fall,63,69,97,28
Rodeo Drive,Robinson Tote,Green,Leather,Small,Hanoi,47,14,61,Fall,96,105,88,-17
Aventura Mall,T Monogram Tote,Gray,Pebbled Leather,Small,Guangzhou,46,14,60,Summer,82,82,49,-33
Oak Street,T Monogram Tote,White,Leather,Mini,Shenzhen,49,16,65,Summer,78,78,18,-60
Westfield World Trade Center,Perry Tote,Pink,Pebbled Leather,Medium,Guangzhou,42,16,58,Winter,74,59,11,-48
San Francisco Centre,Robinson Tote,Multi,Jacquard,Small,Shenzhen,37,15,52,Spring,110,132,53,-79
Rodeo Drive,Gemini Link Tote,Purple,Leather,Large,Guangzhou,36,14,50,Winter,87,69,29,-40
Pacific Centre,Robinson Tote,Green,Coated Canvas,Mini,Ho Chi Minh City,32,18,50,Spring,223,267,266,-1
South Coast Plaza,Perry Tote,Brown,Canvas,Large,Guangzhou,39,16,55,Spring,76,91,138,47
El Palacio de Hierro (Polanco),Gemini Link Tote,Red,Coated Canvas,Small,Da Nang,40,16,56,Summer,210,210,9,-201
South Coast Plaza,Kira Chevron Tote,Pink,Jacquard,Mini,Shenzhen,50,15,65,Spring,125,150,167,17
Soho,Perry Tote,Blue,Canvas,Medium,Guangzhou,36,14,50,Spring,178,213,9,-204
Soho,McGraw Tote,Gray,Coated Canvas,Large,Guangzhou,36,15,51,Spring,94,112,98,-14
Bal Harbour Shops,Kira Chevron Tote,Brown,Canvas,Medium,Shenzhen,31,16,47,Fall,102,112,139,27
NorthPark Center,Kira Chevron Tote,Brown,Canvas,Large,Hanoi,41,17,58,Summer,211,211,113,-98
Yorkdale Shopping Centre,Robinson Tote,Black,Pebbled Leather,Large,Hanoi,41,14,55,Fall,123,135,162,27
NorthPark Center,McGraw Tote,Beige,Canvas,Small,Shenzhen,32,18,50,Summer,79,79,11,-68
San Francisco Centre,Ella Tote,Pink,Leather,Small,Shenzhen,49,17,66,Spring,115,138,68,-70
Pacific Centre,Perry Tote,Yellow,Canvas,Medium,Ho Chi Minh City,32,16,48,Fall,84,92,78,-14
South Coast Plaza,Robinson Tote,Black,Jacquard,Medium,Da Nang,35,18,53,Winter,75,60,6,-54
Aventura Mall,T Monogram Tote,Purple,Jacquard,Mini,Hanoi,47,18,65,Fall,133,146,139,-7
Rodeo Drive,McGraw Tote,Black,Leather,Medium,Ho Chi Minh City,35,15,50,Fall,140,154,36,-118
Madison Avenue,Robinson Tote,Black,Coated Canvas,Large,Ho Chi Minh City,47,17,64,Fall,69,75,35,-40
El Palacio de Hierro (Santa Fe),McGraw Tote,Metallic,Pebbled Leather,Mini,Guangzhou,44,15,59,Winter,155,124,99,-25
The Galleria,Britten Tote,Purple,Leather,Medium,Ho Chi Minh City,31,18,49,Spring,172,206,245,39
Yorkdale Shopping Centre,Perry Tote,Black,Jacquard,Small,Da Nang,34,17,51,Winter,71,56,61,5
El Palacio de Hierro (Polanco),Robinson Tote,Blue,Canvas,Medium,Da Nang,48,17,65,Summer,300,300,56,-244
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Yellow,Leather,Mini,Ho Chi Minh City,47,18,65,Winter,255,204,19,-185
Aventura Mall,Britten Tote,Gray,Leather,Mini,Guangzhou,43,18,61,Spring,140,168,86,-82
Madison Avenue,T Monogram Tote,Gray,Leather,Large,Shenzhen,40,17,57,Summer,300,300,266,-34
Bal Harbour Shops,Kira Chevron Tote,Multi,Coated Canvas,Small,Ho Chi Minh City,32,17,49,Spring,168,201,133,-68
El Palacio de Hierro (Polanco),Ella Tote,Red,Leather,Mini,Shenzhen,31,18,49,Fall,203,223,19,-204
Rodeo Drive,Ella Tote,Multi,Pebbled Leather,Medium,Guangzhou,40,14,54,Winter,58,46,25,-21
Westfield World Trade Center,Ella Tote,Pink,Jacquard,Large,Shenzhen,50,16,66,Spring,172,206,90,-116
Pacific Centre,Britten Tote,Gray,Pebbled Leather,Small,Ho Chi Minh City,49,15,64,Summer,265,265,234,-31
El Palacio de Hierro (Polanco),Kira Chevron Tote,Brown,Jacquard,Large,Hanoi,42,14,56,Summer,252,252,163,-89
South Coast Plaza,Britten Tote,White,Jacquard,Small,Ho Chi Minh City,30,15,45,Fall,84,92,142,50
Aventura Mall,McGraw Tote,Red,Jacquard,Mini,Hanoi,30,15,45,Fall,69,75,14,-61
Soho,Gemini Link Tote,Metallic,Canvas,Medium,Da Nang,45,15,60,Winter,299,239,38,-201
Yorkdale Shopping Centre,Perry Tote,Multi,Leather,Medium,Ho Chi Minh City,45,17,62,Winter,212,169,100,-69
San Francisco Centre,Perry Tote,Black,Leather,Large,Ho Chi Minh City,42,14,56,Summer,152,152,108,-44
Madison Avenue,T Monogram Tote,Green,Leather,Small,Hanoi,42,14,56,Summer,170,170,165,-5
NorthPark Center,Gemini Link Tote,Brown,Coated Canvas,Small,Shenzhen,48,14,62,Winter,103,82,87,5
South Coast Plaza,Kira Chevron Tote,Yellow,Leather,Medium,Hanoi,42,17,59,Winter,79,63,103,40
Bal Harbour Shops,T Monogram Tote,Blue,Jacquard,Small,Guangzhou,37,18,55,Fall,261,287,182,-105
Westfield World Trade Center,Kira Chevron Tote,Purple,Canvas,Mini,Ho Chi Minh City,32,18,50,Winter,279,223,7,-216
El Palacio de Hierro (Polanco),Kira Chevron Tote,Blue,Pebbled Leather,Small,Guangzhou,43,17,60,Summer,278,278,191,-87
El Palacio de Hierro (Polanco),Britten Tote,Metallic,Canvas,Small,Da Nang,30,16,46,Spring,139,166,160,-6
Aventura Mall,Gemini Link Tote,White,Leather,Mini,Guangzhou,30,17,47,Spring,198,237,236,-1
El Palacio de Hierro (Santa Fe),Robinson Tote,Pink,Leather,Medium,Shenzhen,43,17,60,Fall,206,226,249,23
El Palacio de Hierro (Santa Fe),Britten Tote,Beige,Pebbled Leather,Medium,Shenzhen,41,14,55,Summer,232,232,27,-205
NorthPark Center,McGraw Tote,Gray,Pebbled Leather,Medium,Ho Chi Minh City,48,14,62,Winter,182,145,183,38
Pacific Centre,Robinson Tote,Purple,Pebbled Leather,Small,Guangzhou,31,14,45,Summer,60,60,60,0
El Palacio de Hierro (Polanco),McGraw Tote,Purple,Coated Canvas,Medium,Da Nang,31,18,49,Summer,82,82,58,-24
El Palacio de Hierro (Santa Fe),T Monogram Tote,White,Leather,Large,Guangzhou,34,15,49,Summer,130,130,94,-36
Aventura Mall,Kira Chevron Tote,Beige,Leather,Mini,Da Nang,41,15,56,Winter,284,227,233,6
Oak Street,Perry Tote,Green,Leather,Large,Da Nang,43,17,60,Fall,96,105,6,-99
Aventura Mall,Gemini Link Tote,Purple,Canvas,Mini,Ho Chi Minh City,46,17,63,Spring,138,165,172,7
Oak Street,Ella Tote,Multi,Leather,Mini,Guangzhou,35,17,52,Spring,174,208,176,-32
The Galleria,McGraw Tote,Yellow,Canvas,Medium,Shenzhen,50,16,66,Fall,57,62,32,-30
Rodeo Drive,T Monogram Tote,Black,Pebbled Leather,Large,Shenzhen,32,16,48,Fall,290,319,233,-86
Yorkdale Shopping Centre,Britten Tote,Red,Pebbled Leather,Medium,Da Nang,38,18,56,Winter,149,119,69,-50
Soho,McGraw Tote,Beige,Pebbled Leather,Large,Guangzhou,36,15,51,Spring,112,134,45,-89
The Galleria,Ella Tote,White,Coated Canvas,Mini,Ho Chi Minh City,44,16,60,Spring,91,109,89,-20
The Galleria,McGraw Tote,Red,Canvas,Large,Hanoi,43,16,59,Spring,101,121,156,35
El Palacio de Hierro (Santa Fe),Robinson Tote,Metallic,Pebbled Leather,Mini,Da Nang,44,16,60,Fall,75,82,117,35
Bal Harbour Shops,Ella Tote,Gray,Pebbled Leather,Large,Shenzhen,49,15,64,Summer,209,209,23,-186
San Francisco Centre,Ella Tote,White,Leather,Small,Shenzhen,31,14,45,Spring,261,313,187,-126
Bal Harbour Shops,Ella Tote,Blue,Leather,Medium,Da Nang,36,16,52,Spring,72,86,6,-80
The Galleria,Perry Tote,Green,Jacquard,Large,Hanoi,49,18,67,Fall,65,71,67,-4
Pacific Centre,Kira Chevron Tote,White,Leather,Medium,Shenzhen,36,15,51,Spring,168,201,202,1
Oak Street,Robinson Tote,Purple,Coated Canvas,Large,Guangzhou,45,15,60,Fall,189,207,20,-187
The Galleria,Gemini Link Tote,Red,Coated Canvas,Small,Da Nang,41,16,57,Winter,290,232,97,-135
El Palacio de Hierro (Polanco),T Monogram Tote,Metallic,Coated Canvas,Mini,Da Nang,41,17,58,Summer,286,286,178,-108
Pacific Centre,McGraw Tote,Gray,Coated Canvas,Small,Hanoi,50,15,65,Spring,261,313,242,-71
South Coast Plaza,Perry Tote,Beige,Coated Canvas,Medium,Guangzhou,33,17,50,Winter,213,170,46,-124
Westfield World Trade Center,Perry Tote,Red,Jacquard,Medium,Hanoi,50,15,65,Spring,260,312,281,-31
The Galleria,Gemini Link Tote,Black,Leather,Medium,Da Nang,40,14,54,Winter,278,222,215,-7
San Francisco Centre,Britten Tote,Multi,Jacquard,Large,Hanoi,39,14,53,Winter,218,174,34,-140
El Palacio de Hierro (Santa Fe),McGraw Tote,Blue,Canvas,Mini,Shenzhen,50,15,65,Spring,252,302,345,43
